,Input Size,Number of Steps,Test Loss,Classification Accuracy,Duration
0,2,3,0.00081232,0.5424028268551236,41.72403573989868
1,2,10,0.000814292,0.4846698113207547,61.08274507522583
2,2,20,0.000813256,0.5572609208972845,89.36017727851868
3,2,30,0.000822375,0.5573286052009456,119.44401288032532
4,2,40,0.000860272,0.5562130177514792,152.52177500724792
5,2,50,0.000946089,0.514218009,181.24514889717102
6,3,3,0.000719832,0.47762073027090696,34.621652126312256
7,3,10,0.000929091,0.49321533923303834,47.87163186073303
8,3,20,0.000987389,0.5390070921985816,68.3197341
9,3,30,0.000717153,0.5204262877442274,89.37282013893127
10,3,40,0.000829364,0.5415183867141162,109.21240711212158
11,3,50,0.000794091,0.49257278669043375,130.7224760055542
12,5,3,0.000795272,0.5023529411764706,32.51544785499573
13,5,10,0.000735805,0.5144542772861357,41.964088916778564
14,5,20,0.000696995,0.5426035502958579,52.57069182395935
15,5,30,0.000698967,0.5252225519287834,64.47044825553894
16,5,40,0.00083823,0.5232142857142857,76.98842597007751
17,5,50,0.000747842,0.5414925373134328,89.56404685974121
18,10,3,0.000752605,0.49117647058823527,30.015878915786743
19,10,10,0.000751872,0.47692307692307695,34.14233398
20,10,20,0.000640679,0.5208333333333334,40.41268610954285
21,10,30,0.000750333,0.5293413173652695,46.248016119003296
22,10,40,0.000704619,0.5102409638554217,52.58441686630249
23,10,50,0.001228749,0.49454545454545457,59.11854434013367
24,20,3,0.008596965,0.48058823529411765,29.18723177909851
25,20,10,0.003657187,0.5172619047619048,32.05707597732544
26,20,20,0.00312049,0.5698795180722892,33.789806842803955
27,20,30,0.006175074,0.4945121951219512,36.51156282424927
28,20,40,0.005938,0.48271604938271606,39.187026023864746
29,20,50,0.006595577,0.489375,42.50197505950928
