,Input Size,Number of Steps,Test Loss,Classification Accuracy,Duration
0,2,3,0.0009991200640797615,0.519434628975265,40.652292013168335
1,2,10,0.0008639574516564608,0.5507075471698113,68.43176198005676
2,2,20,0.0009113562991842628,0.4433293978748524,108.92734408378601
3,2,30,0.0008986881002783775,0.4397163120567376,152.9734230041504
4,2,40,0.0011402603704482317,0.4840236686390533,193.6821050643921
5,2,50,0.0009527410729788244,0.5165876777251185,233.22879314422607
6,3,3,0.0007423510542139411,0.4717314487632509,35.867278814315796
7,3,10,0.0007093573221936822,0.5463126843657817,55.313302755355835
8,3,20,0.0007097464986145496,0.46808510638297873,84.18674087524414
9,3,30,0.0007797327707521617,0.4997039668442866,116.26178002357483
10,3,40,0.0007212921627797186,0.5166073546856464,142.63350582122803
11,3,50,0.0008828045683912933,0.5121806298276886,169.0662488937378
12,5,3,0.0007088912534527481,0.5017647058823529,33.48097205162048
13,5,10,0.0007358487346209586,0.5097345132743363,45.64267587661743
14,5,20,0.0008258017478510737,0.48284023668639053,62.11878180503845
15,5,30,0.0007461413624696434,0.485459940652819,78.91487526893616
16,5,40,0.0007276194519363344,0.4982142857142857,95.30390501022339
17,5,50,0.0012002182193100452,0.4853731343283582,112.89701819419861
18,10,3,0.0006553784478455782,0.47941176470588237,30.473838090896606
19,10,10,0.0006559650646522641,0.5100591715976331,36.082037925720215
20,10,20,0.0006662970408797264,0.5196428571428572,44.943729877471924
21,10,30,0.0012868634657934308,0.5023952095808383,53.43137288093567
22,10,40,0.0019535848405212164,0.5036144578313253,62.39082479476929
23,10,50,0.0026143123395740986,0.5224242424242425,69.83255195617676
24,20,3,0.004367595538496971,0.5047058823529412,29.170915126800537
25,20,10,0.006608095485717058,0.5464285714285714,32.07426691055298
26,20,20,0.0021763956174254417,0.5325301204819277,36.46869897842407
27,20,30,0.0034555697347968817,0.5365853658536586,40.491538286209106
28,20,40,0.0051690055988729,0.5117283950617284,45.37471532821655
29,20,50,0.017616577446460724,0.4825,48.969582080841064
